date,close,high,low,volume
2024-04-15,1680.00,1705.00,1670.00,3200000
2024-04-16,1695.50,1710.00,1685.00,2800000
2024-04-17,1712.00,1725.00,1700.00,3500000
2024-04-18,1708.50,1720.00,1695.00,2600000
2024-04-19,1725.00,1735.00,1710.00,4100000
2024-04-22,1718.00,1730.00,1705.00,2900000
2024-04-23,1735.00,1748.00,1720.00,3800000
2024-04-24,1742.50,1755.00,1735.00,3100000
2024-04-25,1758.00,1770.00,1745.00,4500000
2024-04-26,1765.00,1780.00,1755.00,3900000
2024-04-29,1752.00,1770.00,1745.00,3200000
2024-04-30,1748.50,1760.00,1738.00,2700000
2024-05-06,1762.00,1775.00,1750.00,3400000
2024-05-07,1778.00,1790.00,1765.00,4200000
2024-05-08,1785.50,1798.00,1775.00,3600000
2024-05-09,1772.00,1790.00,1765.00,2900000
2024-05-10,1795.00,1808.00,1775.00,4800000
2024-05-13,1808.50,1820.00,1795.00,4100000
2024-05-14,1815.00,1830.00,1805.00,4500000
2024-05-15,1832.00,1845.00,1818.00,5200000
2024-05-16,1825.50,1840.00,1815.00,3800000
2024-05-17,1840.00,1855.00,1825.00,4400000
2024-05-20,1855.50,1868.00,1845.00,4700000
2024-05-21,1848.00,1860.00,1835.00,3500000
2024-05-22,1862.00,1878.00,1850.00,5100000
2024-05-23,1875.00,1890.00,1865.00,4900000
2024-05-24,1888.50,1900.00,1875.00,5500000
2024-05-27,1895.00,1910.00,1885.00,5200000
2024-05-28,1912.00,1925.00,1900.00,5800000
2024-05-29,1925.50,1940.00,1915.00,6100000
2024-05-30,1938.00,1952.00,1928.00,5700000
2024-05-31,1950.00,1965.00,1935.00,6300000
